dataset,weighting,dim,modality,method,metric,mean,ci_low,ci_high,n,n_boot,seed,evaluation_seed
goodbooks,bm25,128,u2i,ivfpq,recall,0.0264,0.0234,0.0295,10000,2000,42,42
ml-1m,bm25,128,i2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,6034,2000,42,42
ml-1m,bm25,128,i2i,flat,hr,0.11219754723235002,0.10407689758037786,0.12031819688432217,6034,2000,42,42
ml-1m,bm25,128,i2i,flat,map,0.041943405359050036,0.03802842095848393,0.04586888419327515,6034,2000,42,42
ml-1m,bm25,128,i2i,flat,mrr,0.041943405359050036,0.03802842095848393,0.04586888419327515,6034,2000,42,42
ml-1m,bm25,128,i2i,flat,ndcg,0.05815769614277606,0.05355132463108851,0.06272865557165058,6034,2000,42,42
ml-1m,bm25,128,i2i,flat,precision,0.011219754723235002,0.010407689758037787,0.012031819688432217,6034,2000,42,42
ml-1m,bm25,128,i2i,flat,recall,0.11219754723235002,0.10407689758037786,0.12031819688432217,6034,2000,42,42
ml-1m,bm25,128,i2i,flatpq,ann_recall_vs_exact,0.8460722572091482,0.8437185117666558,0.8485250248591316,6034,2000,42,42
ml-1m,bm25,128,i2i,flatpq,hr,0.10954590652966523,0.10159098442161087,0.11766655618163739,6034,2000,42,42
ml-1m,bm25,128,i2i,flatpq,map,0.04139209821592984,0.037557887907676606,0.04535095931257266,6034,2000,42,42
ml-1m,bm25,128,i2i,flatpq,mrr,0.04139209821592984,0.037557887907676606,0.04535095931257266,6034,2000,42,42
ml-1m,bm25,128,i2i,flatpq,ndcg,0.05715648578034368,0.052638589592629806,0.061939007804302414,6034,2000,42,42
ml-1m,bm25,128,i2i,flatpq,precision,0.010954590652966521,0.010159098442161087,0.011766655618163738,6034,2000,42,42
ml-1m,bm25,128,i2i,flatpq,recall,0.10954590652966523,0.10159098442161087,0.11766655618163739,6034,2000,42,42
ml-1m,bm25,128,i2i,hnsw,ann_recall_vs_exact,1.0,1.0,1.0,6034,2000,42,42
ml-1m,bm25,128,i2i,hnsw,hr,0.11219754723235002,0.10407689758037786,0.12031819688432217,6034,2000,42,42
ml-1m,bm25,128,i2i,hnsw,map,0.041943405359050036,0.03802842095848393,0.04586888419327515,6034,2000,42,42
ml-1m,bm25,128,i2i,hnsw,mrr,0.041943405359050036,0.03802842095848393,0.04586888419327515,6034,2000,42,42
ml-1m,bm25,128,i2i,hnsw,ndcg,0.05815769614277606,0.05355132463108851,0.06272865557165058,6034,2000,42,42
ml-1m,bm25,128,i2i,hnsw,precision,0.011219754723235002,0.010407689758037787,0.012031819688432217,6034,2000,42,42
ml-1m,bm25,128,i2i,hnsw,recall,0.11219754723235002,0.10407689758037786,0.12031819688432217,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfflat,ann_recall_vs_exact,0.9920285051375538,0.9911170036460061,0.9928907026847863,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfflat,hr,0.11153463705667882,0.10357971494862446,0.11949370235333111,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfflat,map,0.04168100341451352,0.03776579376917046,0.04559030572785959,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfflat,mrr,0.04168100341451352,0.03776579376917046,0.04559030572785959,6034,2000,42,42
