dataset,weighting,dim,modality,method,budget_mb,queries,recall_at_k_mean,ndcg_at_k_mean,hr_at_k_mean,precision_at_k_mean,map_at_k_mean,mrr_at_k_mean,ann_recall_vs_exact_at_k_mean,recall_at_100_mean,ann_recall_vs_exact_at_100_mean,coverage_at_k,gini_exposure,long_tail_exposure,long_tail_uplift,calibration_target,calibration_target_reached,calibration_achieved_recall_vs_exact,calibrated_param_name,calibrated_param_value,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,rss_mb_after,query_fingerprint,calibration_fingerprint,embedding_fingerprint,index_fingerprint,omp_threads,seed,run_id,config_hash,code_commit,created_at_utc
ml-1m,bm25,128,i2i,ivfpq,100,6034,0.11037454424925422,0.057225436990356135,0.11037454424925422,0.011037454424925423,0.04121032403680729,0.04121032403680729,0.882615180643023,0.39410009943652635,0.8983244945309911,0.8086611944523068,0.671458198803816,0.01904209479615512,0.013540002525435316,0.95,False,0.90126,nprobe,64.0,0.10760000077425502,0.14422000022022982,0.28760499986674404,0.11484235000216358,57.34765625,5409f142583cb90b,8b400b367484b8bb,b58722041cece5b4,c720782aa0d1a333,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
ml-1m,bm25,128,u2i,flat,100,6034,0.0951276102088167,0.04876195909688952,0.0951276102088167,0.009512761020881671,0.03477674132297931,0.03477674132297931,1.0,0.39774610540271793,1.0,0.4073025757146901,0.9463882418911009,0.0006629101756711965,-0.004839182095048608,,,,,,0.057500000366417225,0.0815100002910185,0.15305599996281666,0.06137425000588337,56.4765625,d5ed8a848af04edf,af62d4fe9fa336a2,b58722041cece5b4,51c23d9eee8bb1bc,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
ml-1m,bm25,128,u2i,flatpq,100,6034,0.08965860125952933,0.043712458951073244,0.08965860125952933,0.008965860125952933,0.030000434048329312,0.030000434048329312,0.6182466025853497,0.37736161750082864,0.7614186277759365,0.3673931502971978,0.9605561315391665,0.000977792509115015,-0.0045242997616047895,,,,,,0.04759999956149841,0.0669999999445281,0.12741699965772565,0.050940949988216744,55.0546875,d5ed8a848af04edf,af62d4fe9fa336a2,b58722041cece5b4,9efdb3dfb6ecc579,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
ml-1m,bm25,128,u2i,hnsw,100,6034,0.0951276102088167,0.04876195909688952,0.0951276102088167,0.009512761020881671,0.03477674132297931,0.03477674132297931,0.9993039443155451,0.39575737487570434,0.9630659595624793,0.4073025757146901,0.9463918350781556,0.0006629101756711965,-0.004839182095048608,0.95,True,0.993,ef,64.0,0.037650000194844324,0.052009999399160727,0.11362000022018026,0.04107295000312661,57.19140625,d5ed8a848af04edf,2f41c35d9c32eac2,b58722041cece5b4,8d0bb78c10838cf8,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
ml-1m,bm25,128,u2i,ivfflat,100,6034,0.0951276102088167,0.04876195909688952,0.0951276102088167,0.009512761020881671,0.03477674132297931,0.03477674132297931,0.9998176997016903,0.39393437189260855,0.9886277759363606,0.4067364845740164,0.9464480126345087,0.0006629101756711965,-0.004839182095048608,0.95,True,0.99511,nprobe,32.0,0.03189999915775843,0.04370499987089715,0.09280399994167965,0.03437879999592042,56.51953125,d5ed8a848af04edf,3a44a48a8f90fab5,b58722041cece5b4,fbcfafd6d842d5cc,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
ml-1m,bm25,128,u2i,ivfpq,100,6034,0.0952933377527345,0.047833271918989374,0.0952933377527345,0.00952933377527345,0.033558183520894826,0.033558183520894826,0.7436360623135566,0.4008949287371561,0.8156629101756712,0.41522785168412113,0.9430938804084149,0.0007457739476300962,-0.0047563183230897085,0.95,False,0.84249,nprobe,64.0,0.10790000033011893,0.15086000048540876,0.3057009994518012,0.11706394999509939,57.19140625,d5ed8a848af04edf,3a44a48a8f90fab5,b58722041cece5b4,c720782aa0d1a333,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
ml-20m,bm25,128,i2i,flat,100,10000,0.0885,0.04927211711904937,0.0885,0.00885,0.037293571428571426,0.037293571428571426,1.0,0.2798,1.0,0.3467488201363398,0.8873155488550953,0.00284,0.002244585488061143,,,,,,0.31515000000581495,0.5266299998311297,0.8127220001006208,0.34227174997249676,77.4140625,ad47fb948519416b,edbc341522f643f4,bf14ca225e177c6f,85f86ef81172b40b,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
ml-20m,bm25,128,i2i,flatpq,100,10000,0.089,0.048885908628089746,0.089,0.008900000000000002,0.03671757936507936,0.03671757936507936,0.8338200000000001,0.2818,0.859734,0.34653032686593255,0.8887005261317952,0.00329,0.002694585488061143,,,,,,0.1560000000608852,0.21630999995068123,0.2931049999097013,0.1657361000138735,66.9765625,ad47fb948519416b,edbc341522f643f4,bf14ca225e177c6f,5c6b35aebb8f824b,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
ml-20m,bm25,128,i2i,hnsw,100,10000,0.0885,0.04927211711904937,0.0885,0.00885,0.037293571428571426,0.037293571428571426,0.99969,0.2791,0.985562,0.346574025520014,0.8873846495367942,0.00302,0.0024245854880611427,0.95,True,0.98655,ef,64.0,0.04369999987829942,0.07050500021250627,0.1052039997830434,0.04703944999937448,81.9921875,ad47fb948519416b,28c9b7a83743318a,bf14ca225e177c6f,f8adbadb1cf6d851,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
ml-20m,bm25,128,i2i,ivfflat,100,10000,0.088,0.04892943729640228,0.088,0.0088,0.037000396825396825,0.037000396825396825,0.9893200000000001,0.2781,0.9484,0.3462244362873623,0.8878879391714735,0.00297,0.002374585488061143,0.95,True,0.95033,nprobe,16.0,0.03825000021606684,0.08570000045438064,0.12620100051208283,0.044830150015513937,77.54296875,ad47fb948519416b,62e499b02b0b21a2,bf14ca225e177c6f,4ac302123ffb530b,1,42,20260712T173025Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:30:25.920129+00:00
