dataset,weighting,modality,method,metric,mean,ci_low,ci_high,n,n_boot
ml-1m,bm25,i2i,flatpq,precision,0.010750372701673018,0.009971840318038761,0.011579012754679477,6037,1000
ml-1m,bm25,i2i,flatpq,hr,0.10750372701673017,0.0997184031803876,0.11579012754679477,6037,1000
ml-1m,bm25,i2i,flatpq,ndcg,0.056892876649867995,0.052316399781032405,0.061740128862486095,6037,1000
ml-1m,bm25,i2i,flatpq,map,0.041634326415674765,0.03759722123623896,0.045714908527046176,6037,1000
ml-1m,bm25,i2i,flatpq,mrr,0.041634326415674765,0.03759722123623896,0.045714908527046176,6037,1000
ml-1m,bm25,i2i,flatpq,ann_recall_vs_exact,0.8469272817624648,0.8444587543481862,0.8494947821765778,6037,1000
ml-1m,bm25,i2i,hnsw,recall,0.11197614709292696,0.1041908232565844,0.12075948318701342,6037,1000
ml-1m,bm25,i2i,hnsw,precision,0.011197614709292694,0.01041908232565844,0.012075948318701343,6037,1000
ml-1m,bm25,i2i,hnsw,hr,0.11197614709292696,0.1041908232565844,0.12075948318701342,6037,1000
ml-1m,bm25,i2i,hnsw,ndcg,0.05818712583401837,0.05366112747957301,0.06317442706487093,6037,1000
ml-1m,bm25,i2i,hnsw,map,0.04204239202168637,0.038086311660106585,0.04633694071742771,6037,1000
ml-1m,bm25,i2i,hnsw,mrr,0.04204239202168637,0.038086311660106585,0.04633694071742771,6037,1000
ml-1m,bm25,i2i,hnsw,ann_recall_vs_exact,1.0,1.0,1.0,6037,1000
ml-1m,bm25,i2i,ivfflat,recall,0.11197614709292696,0.1041908232565844,0.12075948318701342,6037,1000
ml-1m,bm25,i2i,ivfflat,precision,0.011197614709292694,0.01041908232565844,0.012075948318701343,6037,1000
ml-1m,bm25,i2i,ivfflat,hr,0.11197614709292696,0.1041908232565844,0.12075948318701342,6037,1000
ml-1m,bm25,i2i,ivfflat,ndcg,0.05818712583401837,0.05366112747957301,0.06317442706487093,6037,1000
ml-1m,bm25,i2i,ivfflat,map,0.04204239202168637,0.038086311660106585,0.04633694071742771,6037,1000
ml-1m,bm25,i2i,ivfflat,mrr,0.04204239202168637,0.038086311660106585,0.04633694071742771,6037,1000
ml-1m,bm25,i2i,ivfflat,ann_recall_vs_exact,0.9991717740599636,0.9988901772403512,0.9994368063607751,6037,1000
ml-1m,bm25,i2i,ivfpq,recall,0.11479211528905085,0.1070067914527083,0.12324416100712274,6037,1000
ml-1m,bm25,i2i,ivfpq,precision,0.011479211528905084,0.010700679145270831,0.012324416100712273,6037,1000
ml-1m,bm25,i2i,ivfpq,hr,0.11479211528905085,0.1070067914527083,0.12324416100712274,6037,1000
ml-1m,bm25,i2i,ivfpq,ndcg,0.05844995331040071,0.053899790934681946,0.06328079965048658,6037,1000
ml-1m,bm25,i2i,ivfpq,map,0.04163123700145399,0.0375519629612101,0.0456514374978637,6037,1000
ml-1m,bm25,i2i,ivfpq,mrr,0.04163123700145399,0.0375519629612101,0.0456514374978637,6037,1000
ml-1m,bm25,i2i,ivfpq,ann_recall_vs_exact,0.8777704157694219,0.8757160013251616,0.8799734967699188,6037,1000
ml-1m,bm25,u2i,flat,recall,0.09524598310419083,0.088454530395892,0.10220308100049694,6037,1000
ml-1m,bm25,u2i,flat,precision,0.009524598310419082,0.008845453039589201,0.010220308100049695,6037,1000
ml-1m,bm25,u2i,flat,hr,0.09524598310419083,0.088454530395892,0.10220308100049694,6037,1000
ml-1m,bm25,u2i,flat,ndcg,0.04889590536514545,0.04470194907331025,0.0530026215174081,6037,1000
ml-1m,bm25,u2i,flat,map,0.0349172825775443,0.03137194805314318,0.0384250248467782,6037,1000
ml-1m,bm25,u2i,flat,mrr,0.0349172825775443,0.03137194805314318,0.0384250248467782,6037,1000
ml-1m,bm25,u2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,6037,1000
ml-1m,bm25,u2i,flatpq,recall,0.09011098227596488,0.0831497432499586,0.09690657611396389,6037,1000
