dataset,weighting,dim,method,seed,metric,decile,value
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_100,-1,0.84996
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,1,0.9069620253164558
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,2,0.8143835616438356
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,3,0.8073394495412846
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,4,0.7258064516129032
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,5,0.7613861386138613
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,6,0.8054545454545456
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,7,0.8095744680851065
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,8,0.8172413793103448
ml-20m,bm25,128,flatpq,42,neighbor_overlap_at_10_decile,9,0.8450980392156865
ml-20m,bm25,128,flatpq,42,norm_distortion_mean,-1,0.03442477434873581
ml-20m,bm25,128,flatpq,42,pairwise_distance_distortion,-1,0.03854796662926674
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,1,0.18621931970119476
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,2,0.24583475291728973
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,3,0.25445428490638733
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,4,0.2479945570230484
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,5,0.2429860234260559
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,6,0.23570312559604645
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,7,0.2332497239112854
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,8,0.24010305106639862
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_decile,9,0.25949782133102417
ml-20m,bm25,128,flatpq,42,reconstruction_error_rel_mean,-1,0.2362271547317505
ml-20m,bm25,128,flatpq,42,score_variance_flat,-1,0.01559433559680916
ml-20m,bm25,128,flatpq,42,score_variance_pq,-1,0.013334805161191688
ml-20m,bm25,128,flatpq,42,score_variance_ratio,-1,0.8551056938854256
ml-20m,bm25,128,ivfpq,42,delta_ndcg_vs_flat,-1,0.0006002566709081489
ml-20m,bm25,128,ivfpq,42,long_tail_exposure_flat,-1,0.2
ml-20m,bm25,128,ivfpq,42,long_tail_exposure_pq,-1,0.2071
ml-20m,bm25,128,ivfpq,42,long_tail_exposure_shift,-1,0.007099999999999995
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10,-1,0.6314
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_100,-1,0.44090999999999997
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,1,0.7550632911392405
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,2,0.5808219178082191
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,3,0.5706422018348624
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,4,0.503225806451613
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,5,0.595049504950495
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,6,0.620909090909091
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,7,0.6595744680851063
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,8,0.6873563218390805
ml-20m,bm25,128,ivfpq,42,neighbor_overlap_at_10_decile,9,0.6676470588235295
ml-20m,bm25,128,ivfpq,42,norm_distortion_mean,-1,0.022813592106103897
ml-20m,bm25,128,ivfpq,42,pairwise_distance_distortion,-1,0.025108342990279198
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,1,0.14792056381702423
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,2,0.19980520009994507
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,3,0.21110159158706665
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,4,0.1990652084350586
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,5,0.19051921367645264
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,6,0.17371591925621033
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,7,0.1679389774799347
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,8,0.1718992441892624
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_decile,9,0.2028009444475174
ml-20m,bm25,128,ivfpq,42,reconstruction_error_rel_mean,-1,0.1838347464799881
ml-20m,bm25,128,ivfpq,42,score_variance_flat,-1,0.01559433559680916
ml-20m,bm25,128,ivfpq,42,score_variance_pq,-1,0.02615458419920543
ml-20m,bm25,128,ivfpq,42,score_variance_ratio,-1,1.6771849006864428
