dataset,weighting,dim,modality,method,seed,metric,k,decile,group,value,fairness_scope,notes
amazon-books,bm25,128,u2i,ivfflat,42,gini_exposure,100,-1,__all__,0.7816377412156029,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,long_tail_exposure,10,-1,__all__,0.23611,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,long_tail_exposure,100,-1,__all__,0.264808,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,long_tail_uplift,10,-1,__all__,0.1679922531853824,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfflat,42,user_popularity_calibration_error,10,-1,__all__,1.3422038935002099,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
amazon-books,bm25,128,u2i,ivfpq,42,coverage,10,-1,__all__,0.1444581528444326,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,coverage,100,-1,__all__,0.5403090368550636,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,exposure_share_decile,10,0,__all__,0.04052,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,exposure_share_decile,10,1,__all__,0.11229,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,exposure_share_decile,10,2,__all__,0.0,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,exposure_share_decile,10,3,__all__,0.14448,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,exposure_share_decile,10,4,__all__,0.08538,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,exposure_share_decile,10,5,__all__,0.05658,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,exposure_share_decile,10,6,__all__,0.06791,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,exposure_share_decile,10,7,__all__,0.06957,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,exposure_share_decile,10,8,__all__,0.0814,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,exposure_share_decile,10,9,__all__,0.34187,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,exposure_share_group,10,-1,head,0.34006,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,exposure_share_group,10,-1,mid,0.50598,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,exposure_share_group,10,-1,tail,0.15396,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,gini_exposure,10,-1,__all__,0.9106386125408308,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,gini_exposure,100,-1,__all__,0.7749623986825442,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,long_tail_exposure,10,-1,__all__,0.23318,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,long_tail_exposure,100,-1,__all__,0.255246,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,long_tail_uplift,10,-1,__all__,0.16506225318538242,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,ivfpq,42,user_popularity_calibration_error,10,-1,__all__,1.3328956390413034,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
goodbooks,bm25,128,i2i,flat,42,coverage,10,-1,__all__,0.9124,long_tail_exposure_proxy_only,
goodbooks,bm25,128,i2i,flat,42,coverage,100,-1,__all__,0.9997,long_tail_exposure_proxy_only,
goodbooks,bm25,128,i2i,flat,42,exposure_share_decile,10,0,__all__,0.03794,long_tail_exposure_proxy_only,
goodbooks,bm25,128,i2i,flat,42,exposure_share_decile,10,1,__all__,0.05547,long_tail_exposure_proxy_only,
goodbooks,bm25,128,i2i,flat,42,exposure_share_decile,10,2,__all__,0.06433,long_tail_exposure_proxy_only,
goodbooks,bm25,128,i2i,flat,42,exposure_share_decile,10,3,__all__,0.06842,long_tail_exposure_proxy_only,
goodbooks,bm25,128,i2i,flat,42,exposure_share_decile,10,4,__all__,0.07176,long_tail_exposure_proxy_only,
goodbooks,bm25,128,i2i,flat,42,exposure_share_decile,10,5,__all__,0.08128,long_tail_exposure_proxy_only,
goodbooks,bm25,128,i2i,flat,42,exposure_share_decile,10,6,__all__,0.0914,long_tail_exposure_proxy_only,
goodbooks,bm25,128,i2i,flat,42,exposure_share_decile,10,7,__all__,0.1153,long_tail_exposure_proxy_only,
goodbooks,bm25,128,i2i,flat,42,exposure_share_decile,10,8,__all__,0.15241,long_tail_exposure_proxy_only,
