dataset,weighting,modality,method,baseline,metric,mean_diff,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude,n
ml-20m,bm25,i2i,ivfpq,flat,map,-0.0007811904761904839,-0.018081919178977075,negligible,-0.0003120000000000067,negligible,10000
ml-20m,bm25,i2i,ivfpq,flat,mrr,-0.0007811904761904839,-0.018081919178977075,negligible,-0.0003120000000000067,negligible,10000
ml-20m,bm25,u2i,flatpq,flat,recall,-0.004500000000000004,-0.020738327279274018,negligible,-0.004307000000000005,negligible,10000
ml-20m,bm25,u2i,flatpq,flat,precision,-0.0004499999999999973,-0.020738327279274018,negligible,-0.004307000000000005,negligible,10000
ml-20m,bm25,u2i,flatpq,flat,hr,-0.004500000000000004,-0.020738327279274018,negligible,-0.004307000000000005,negligible,10000
ml-20m,bm25,u2i,flatpq,flat,ndcg,-0.0033803247476705683,-0.029554436992270488,negligible,-0.00451,negligible,10000
ml-20m,bm25,u2i,flatpq,flat,map,-0.0029884523809523833,-0.02796540999469825,negligible,-0.00451,negligible,10000
ml-20m,bm25,u2i,flatpq,flat,mrr,-0.0029884523809523833,-0.02796540999469825,negligible,-0.00451,negligible,10000
ml-20m,bm25,u2i,hnsw,flat,recall,0.0,0.0,negligible,4.450000000000287e-05,negligible,10000
ml-20m,bm25,u2i,hnsw,flat,precision,0.0,0.0,negligible,4.450000000000287e-05,negligible,10000
ml-20m,bm25,u2i,hnsw,flat,hr,0.0,0.0,negligible,4.450000000000287e-05,negligible,10000
ml-20m,bm25,u2i,hnsw,flat,ndcg,-1.7868456547581735e-06,-0.010000000000000005,negligible,3.799999999999637e-05,negligible,10000
ml-20m,bm25,u2i,hnsw,flat,map,-1.7857142857180541e-06,-0.009999999999999997,negligible,3.799999999999637e-05,negligible,10000
ml-20m,bm25,u2i,hnsw,flat,mrr,-1.7857142857180541e-06,-0.009999999999999997,negligible,3.799999999999637e-05,negligible,10000
ml-20m,bm25,u2i,ivfflat,flat,recall,-0.00010000000000000286,-0.0019244082335703923,negligible,-4.549999999998999e-05,negligible,10000
ml-20m,bm25,u2i,ivfflat,flat,precision,-9.999999999999593e-06,-0.001924408233570393,negligible,-4.549999999998999e-05,negligible,10000
