dataset,weighting,dim,modality,method,baseline,metric,mean_diff,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude,n,seed,evaluation_seed
ml-1m,bm25,128,i2i,flatpq,flat,map,-0.0005513071431201971,-0.011774772992569661,negligible,-0.0032279999999999948,negligible,6034,42,42
ml-1m,bm25,128,i2i,flatpq,flat,mrr,-0.0005513071431201971,-0.011774772992569661,negligible,-0.0032279999999999948,negligible,6034,42,42
ml-1m,bm25,128,i2i,flatpq,flat,ndcg,-0.0010012103624323782,-0.017450468638043278,negligible,-0.0032279999999999948,negligible,6034,42,42
ml-1m,bm25,128,i2i,flatpq,flat,precision,-0.0002651640702684803,-0.017929334865673156,negligible,-0.0033794999999999936,negligible,6034,42,42
ml-1m,bm25,128,i2i,flatpq,flat,recall,-0.002651640702684796,-0.017929334865673156,negligible,-0.0033794999999999936,negligible,6034,42,42
ml-1m,bm25,128,i2i,hnsw,flat,hr,0.0,0.0,negligible,-0.000670999999999991,negligible,6034,42,42
ml-1m,bm25,128,i2i,hnsw,flat,map,0.0,0.0,negligible,-0.0006575000000000053,negligible,6034,42,42
ml-1m,bm25,128,i2i,hnsw,flat,mrr,0.0,0.0,negligible,-0.0006575000000000053,negligible,6034,42,42
ml-1m,bm25,128,i2i,hnsw,flat,ndcg,0.0,0.0,negligible,-0.0006575000000000053,negligible,6034,42,42
ml-1m,bm25,128,i2i,hnsw,flat,precision,0.0,0.0,negligible,-0.000670999999999991,negligible,6034,42,42
ml-1m,bm25,128,i2i,hnsw,flat,recall,0.0,0.0,negligible,-0.000670999999999991,negligible,6034,42,42
ml-1m,bm25,128,i2i,ivfflat,flat,hr,-0.0006629101756712025,-0.021025276228917957,negligible,-0.0013230000000000047,negligible,6034,42,42
ml-1m,bm25,128,i2i,ivfflat,flat,map,-0.0002624019445365139,-0.01781927128165287,negligible,-0.0012805000000000039,negligible,6034,42,42
