dataset,weighting,modality,method,metric,k,decile,group,value,fairness_scope,notes
goodbooks,bm25,u2i,flatpq,long_tail_uplift,10,,,0.03574061774570976,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,gini_exposure,10,,,0.881761522,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,gini_exposure,100,,,0.7102607902,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,coverage,10,,,0.5743,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,coverage,100,,,0.9712,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,exposure_share_decile,10,0.0,,0.03042,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,exposure_share_decile,10,1.0,,0.03708,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,exposure_share_decile,10,2.0,,0.04807,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,exposure_share_decile,10,3.0,,0.05237,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,exposure_share_decile,10,4.0,,0.0474,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,exposure_share_decile,10,5.0,,0.04114,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,exposure_share_decile,10,6.0,,0.05236,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,exposure_share_decile,10,7.0,,0.06708,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,exposure_share_decile,10,8.0,,0.08948,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,exposure_share_decile,10,9.0,,0.5346,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,exposure_share_group,10,,head,0.5346,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,exposure_share_group,10,,mid,0.39683,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,exposure_share_group,10,,tail,0.06857,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,flatpq,user_popularity_calibration_error,10,,,0.8353021957389075,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
goodbooks,bm25,u2i,hnsw,long_tail_exposure,10,,,0.05723,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,long_tail_exposure,100,,,0.104056,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,long_tail_uplift,10,,,0.022120617745709767,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,gini_exposure,10,,,0.831348602,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,gini_exposure,100,,,0.6645721474,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,coverage,10,,,0.6775,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,coverage,100,,,0.977,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,exposure_share_decile,10,0.0,,0.02233,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,exposure_share_decile,10,1.0,,0.03227,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,exposure_share_decile,10,2.0,,0.03861,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,exposure_share_decile,10,3.0,,0.04316,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,exposure_share_decile,10,4.0,,0.04615,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,exposure_share_decile,10,5.0,,0.04766,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,exposure_share_decile,10,6.0,,0.05539,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,exposure_share_decile,10,7.0,,0.06902,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,exposure_share_decile,10,8.0,,0.10147,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,exposure_share_decile,10,9.0,,0.54394,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,exposure_share_group,10,,head,0.54394,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,exposure_share_group,10,,mid,0.40079000000000004,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,exposure_share_group,10,,tail,0.05527,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,hnsw,user_popularity_calibration_error,10,,,0.8229082903784265,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
goodbooks,bm25,u2i,ivfflat,long_tail_exposure,10,,,0.05919,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,long_tail_exposure,100,,,0.114524,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,long_tail_uplift,10,,,0.024080617745709763,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,gini_exposure,10,,,0.8229058939999999,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,gini_exposure,100,,,0.6444488666,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,coverage,10,,,0.6881,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,coverage,100,,,0.9807,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,exposure_share_decile,10,0.0,,0.02339,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,exposure_share_decile,10,1.0,,0.03345,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,exposure_share_decile,10,2.0,,0.0403,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,exposure_share_decile,10,3.0,,0.04635,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,exposure_share_decile,10,4.0,,0.04738,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,exposure_share_decile,10,5.0,,0.04934,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,exposure_share_decile,10,6.0,,0.0596,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,exposure_share_decile,10,7.0,,0.07518,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,exposure_share_decile,10,8.0,,0.10919,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,exposure_share_decile,10,9.0,,0.51582,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,exposure_share_group,10,,head,0.51582,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,exposure_share_group,10,,mid,0.42676000000000003,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,exposure_share_group,10,,tail,0.05742,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfflat,user_popularity_calibration_error,10,,,0.7997302059988302,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
goodbooks,bm25,u2i,ivfpq,long_tail_exposure,10,,,0.08612,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,long_tail_exposure,100,,,0.130172,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,long_tail_uplift,10,,,0.051010617745709766,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,gini_exposure,10,,,0.849255468,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,gini_exposure,100,,,0.691923099,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,coverage,10,,,0.6353,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,coverage,100,,,0.9759,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,exposure_share_decile,10,0.0,,0.03626,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,exposure_share_decile,10,1.0,,0.04625,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,exposure_share_decile,10,2.0,,0.05378,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,exposure_share_decile,10,3.0,,0.04981,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,exposure_share_decile,10,4.0,,0.04578,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,exposure_share_decile,10,5.0,,0.05194,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,exposure_share_decile,10,6.0,,0.0569,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,exposure_share_decile,10,7.0,,0.07521,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,exposure_share_decile,10,8.0,,0.09183,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,exposure_share_decile,10,9.0,,0.49224,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,exposure_share_group,10,,head,0.49224,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,exposure_share_group,10,,mid,0.42379,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,exposure_share_group,10,,tail,0.08397,long_tail_exposure_proxy_only,
goodbooks,bm25,u2i,ivfpq,user_popularity_calibration_error,10,,,0.8180960058330827,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
ml-1m,bm25,i2i,flat,long_tail_exposure,10,,,0.0167135994699354,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,long_tail_exposure,100,,,0.038416432002650325,long_tail_exposure_proxy_only,
