dataset,weighting,dim,modality,method,target_recall,target_reached,param_name,selected_param_value,calibrated_param_value,achieved_recall_vs_exact,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,topk,n_calibration_queries,query_source,query_fingerprint,calibration_fingerprint,seed,run_id,config_hash,code_commit,created_at_utc
ml-1m,bm25,128,u2i,hnsw,0.95,True,ef,64,64,0.993,0.07190319996698236,0.044100000195612665,0.15170000006037299,0.20872300025985166,100,1000,shared_modality_query_cache,d5ed8a848af04edf,2f41c35d9c32eac2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-1m,bm25,128,u2i,hnsw,0.98,True,ef,64,64,0.993,0.037542000025496236,0.036100000215810724,0.045709999676546424,0.05326500050614398,100,1000,shared_modality_query_cache,d5ed8a848af04edf,2f41c35d9c32eac2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-1m,bm25,128,u2i,ivfflat,0.9,True,nprobe,16,16,0.9392,0.02738739998676465,0.026699999580159783,0.03399999968678458,0.04051200006870202,100,1000,shared_modality_query_cache,d5ed8a848af04edf,3a44a48a8f90fab5,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-1m,bm25,128,u2i,ivfflat,0.95,True,nprobe,32,32,0.99511,0.04132239997488796,0.04040000021632295,0.04920999990645213,0.05601500075499642,100,1000,shared_modality_query_cache,d5ed8a848af04edf,3a44a48a8f90fab5,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-1m,bm25,128,u2i,ivfflat,0.98,True,nprobe,32,32,0.99511,0.03448379997826123,0.032899999496294186,0.041924999823095256,0.06015799925080495,100,1000,shared_modality_query_cache,d5ed8a848af04edf,3a44a48a8f90fab5,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-1m,bm25,128,u2i,ivfpq,0.9,False,nprobe,64,64,0.84249,0.12464740000359598,0.10910000037256395,0.1812000001791602,0.4455869995308599,100,1000,shared_modality_query_cache,d5ed8a848af04edf,3a44a48a8f90fab5,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-1m,bm25,128,u2i,ivfpq,0.95,False,nprobe,64,64,0.84249,0.11318679999749293,0.10819999988598283,0.1350700002149096,0.1802150006096781,100,1000,shared_modality_query_cache,d5ed8a848af04edf,3a44a48a8f90fab5,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-1m,bm25,128,u2i,ivfpq,0.98,False,nprobe,64,64,0.84249,0.19395240000267222,0.1164000000244414,0.4059900002630456,0.48595000005661854,100,1000,shared_modality_query_cache,d5ed8a848af04edf,3a44a48a8f90fab5,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-20m,bm25,128,i2i,hnsw,0.9,True,ef,32,32,0.91016,0.07318540000960638,0.0754500001676206,0.127610000254208,0.15351600011854313,100,1000,shared_modality_query_cache,ad47fb948519416b,28c9b7a83743318a,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-20m,bm25,128,i2i,hnsw,0.95,True,ef,64,64,0.98655,0.09184800001276017,0.07664999975531828,0.17901999967762092,0.21724200039898275,100,1000,shared_modality_query_cache,ad47fb948519416b,28c9b7a83743318a,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-20m,bm25,128,i2i,hnsw,0.98,True,ef,64,64,0.98655,0.10426080001889204,0.10095000016008271,0.1713049992758897,0.21814199998516412,100,1000,shared_modality_query_cache,ad47fb948519416b,28c9b7a83743318a,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-20m,bm25,128,i2i,ivfflat,0.9,True,nprobe,16,16,0.95033,0.06094599997959449,0.04394999996293336,0.14792000033594366,0.2537220001704553,100,1000,shared_modality_query_cache,ad47fb948519416b,62e499b02b0b21a2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
